MT,Reaction,Description
380,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
381,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
382,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
383,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
384,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
385,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
386,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
387,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
388,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
389,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
390,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
391,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
392,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
393,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
394,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
395,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
396,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
397,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
398,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
399,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
400,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
401,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
402,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
403,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
404,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
405,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
406,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
407,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
408,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
409,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
410,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
411,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
412,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
413,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
414,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
415,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
416,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
417,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
418,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
419,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
420,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
421,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
422,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
423,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
424,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
425,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
426,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
427,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
428,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
429,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
430,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
431,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
432,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
433,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
434,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
435,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
436,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
437,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
438,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
439,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
440,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
441,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
442,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
443,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
444,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
445,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
446,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
447,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
448,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
449,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
450,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
451,"(z,...)",Heading or title information; given in File 1 only.
452,"(z,...)","νT , average total (prompt plus delayed) number of neutrons released per fission event."
454,"(z,...)",Independent fission product yield data
455,"(z,...)","νd, average number of delayed neutrons released per fission event."
456,"(z,...)","νp, average number of prompt neutrons released per fission event."
457,"(z,...)",Radioactive decay data.
458,"(n,...)",Energy release in fission for incident neutrons.
459,"(z,...)",Cumulative fission product yield data.
600,"(z,p0)",Production of a proton leaving the residual nucleus in the ground state.
601,"(z,p1)","Production of a proton, with residual in the 1st excited state."
602,"(z,p2)","Production of a proton, with residual in the 2nd excited state."
603,"(z,p3)","Production of a proton, with residual in the 3rd excited state."
604,"(z,p4)","Production of a proton, with residual in the 4th excited state."
605,"(z,p5)",...
606,"(z,p6)",...
607,"(z,p7)",...
608,"(z,p8)",...
609,"(z,p9)",...
610,"(z,p10)",...
611,"(z,p11)",...
612,"(z,p12)",...
613,"(z,p13)",...
614,"(z,p14)",...
615,"(z,p15)",...
616,"(z,p16)",...
617,"(z,p17)",...
618,"(z,p18)",...
619,"(z,p19)",...
620,"(z,p20)",...
621,"(z,p21)",...
622,"(z,p22)",...
623,"(z,p23)",...
624,"(z,p24)",...
625,"(z,p25)",...
626,"(z,p26)",...
627,"(z,p27)",...
628,"(z,p28)",...
629,"(z,p29)",...
630,"(z,p30)",...
631,"(z,p31)",...
632,"(z,p32)",...
633,"(z,p33)",...
634,"(z,p34)",...
635,"(z,p35)",...
636,"(z,p36)",...
637,"(z,p37)",...
638,"(z,p38)",...
639,"(z,p39)",...
640,"(z,p40)",...
641,"(z,p41)",...
642,"(z,p42)",...
643,"(z,p43)",...
644,"(z,p44)",...
645,"(z,p45)",...
646,"(z,p46)",...
647,"(z,p47)",...
648,"(z,p48)",...
649,"(z,pc)",Production of a proton in the continuum not included in the above discrete representation
650,"(z,d0)",Production of a deuteron leaving the residual nucleus in the ground state
651,"(z,d1)","Production of a deuteron, with the residual in the 1st excited state."
652,"(z,d2)","Production of a deuteron, with the residual in the 2nd excited state."
653,"(z,d3)",...
654,"(z,d4)",...
655,"(z,d5)",...
656,"(z,d6)",...
657,"(z,d7)",...
658,"(z,d8)",...
659,"(z,d9)",...
660,"(z,d10)",...
661,"(z,d11)",...
662,"(z,d12)",...
663,"(z,d13)",...
664,"(z,d14)",...
665,"(z,d15)",...
666,"(z,d16)",...
667,"(z,d17)",...
668,"(z,d18)",...
669,"(z,d19)",...
670,"(z,d20)",...
671,"(z,d21)",...
672,"(z,d22)",...
673,"(z,d23)",...
674,"(z,d24)",...
675,"(z,d25)",...
676,"(z,d26)",...
677,"(z,d27)",...
678,"(z,d28)",...
679,"(z,d29)",...
680,"(z,d30)",...
681,"(z,d31)",...
682,"(z,d32)",...
683,"(z,d33)",...
684,"(z,d34)",...
685,"(z,d35)",...
686,"(z,d36)",...
687,"(z,d37)",...
688,"(z,d38)",...
689,"(z,d39)",...
690,"(z,d40)",...
691,"(z,d41)",...
692,"(z,d42)",...
693,"(z,d43)",...
694,"(z,d44)",...
695,"(z,d45)",...
696,"(z,d46)",...
697,"(z,d47)",...
698,"(z,d48)",...
699,"(z,dc)",Production of a deuteron in the continuum not included in the above discrete representation.
700,"(z,t0)",Production of a triton leaving the residual nucleus in the ground state.
701,"(z,t1)","Production of a triton, with residual in the 1st excited state"
702,"(z,t2)","Production of a triton, with residual in the 2nd excited state."
703,"(z,t3)",...
704,"(z,t4)",...
705,"(z,t5)",...
706,"(z,t6)",...
707,"(z,t7)",...
708,"(z,t8)",...
709,"(z,t9)",...
710,"(z,t10)",...
711,"(z,t11)",...
712,"(z,t12)",...
713,"(z,t13)",...
714,"(z,t14)",...
715,"(z,t15)",...
716,"(z,t16)",...
717,"(z,t17)",...
718,"(z,t18)",...
719,"(z,t19)",...
720,"(z,t20)",...
721,"(z,t21)",...
722,"(z,t22)",...
723,"(z,t23)",...
724,"(z,t24)",...
725,"(z,t25)",...
726,"(z,t26)",...
727,"(z,t27)",...
728,"(z,t28)",...
729,"(z,t29)",...
730,"(z,t30)",...
731,"(z,t31)",...
732,"(z,t32)",...
733,"(z,t33)",...
734,"(z,t34)",...
735,"(z,t35)",...
736,"(z,t36)",...
737,"(z,t37)",...
738,"(z,t38)",...
739,"(z,t39)",...
740,"(z,t40)",...
741,"(z,t41)",...
742,"(z,t42)",...
743,"(z,t43)",...
744,"(z,t44)",...
745,"(z,t45)",...
746,"(z,t46)",...
747,"(z,t47)",...
748,"(z,t48)",...
749,"(z,tc) ",Production of a triton in the continuum not included in the above discrete representation.
750,"(n,3He0)",Production of a 3He particle leaving the residual nucleus in the ground state.
751,"(z,3He1)","Production of a 3He, with residual in the 1st excited state."
752,"(z,3He2)","Production of a 3He, with residual in the 2nd excited state."
753,"(z,3He3)",...
754,"(z,3He4)",...
755,"(z,3He5)",...
756,"(z,3He6)",...
757,"(z,3He7)",...
758,"(z,3He8)",...
759,"(z,3He9)",...
760,"(z,3He10)",...
761,"(z,3He11)",...
762,"(z,3He12)",...
763,"(z,3He13)",...
764,"(z,3He14)",...
765,"(z,3He15)",...
766,"(z,3He16)",...
767,"(z,3He17)",...
768,"(z,3He18)",...
769,"(z,3He19)",...
770,"(z,3He20)",...
771,"(z,3He21)",...
772,"(z,3He22)",...
773,"(z,3He23)",...
774,"(z,3He24)",...
775,"(z,3He25)",...
776,"(z,3He26)",...
777,"(z,3He27)",...
778,"(z,3He28)",...
779,"(z,3He29)",...
780,"(z,3He30)",...
781,"(z,3He31)",...
782,"(z,3He32)",...
783,"(z,3He33)",...
784,"(z,3He34)",...
785,"(z,3He35)",...
786,"(z,3He36)",...
787,"(z,3He37)",...
788,"(z,3He38)",...
789,"(z,3He39)",...
790,"(z,3He40)",...
791,"(z,3He41)",...
792,"(z,3He42)",...
793,"(z,3He43)",...
794,"(z,3He44)",...
795,"(z,3He45)",...
796,"(z,3He46)",...
797,"(z,3He47)",...
798,"(z,3He48)",...
799,"(n,3Hec)",Production of a 3He in the continuum not included in the above discrete representation.
800,"(z,α0)",Production of an alpha particle leaving the residual nucleus in the ground state.
801,"(z,α1)","Production of an alpha particle, with residual in the 1st excited state."
802,"(z,α2)","Production of an alpha particle, with residual in the 2nd excited state."
803,"(z,α3)",...
804,"(z,α4)",...
805,"(z,α5)",...
806,"(z,α6)",...
807,"(z,α7)",...
808,"(z,α8)",...
809,"(z,α9)",...
810,"(z,α10)",...
811,"(z,α11)",...
812,"(z,α12)",...
813,"(z,α13)",...
814,"(z,α14)",...
815,"(z,α15)",...
816,"(z,α16)",...
817,"(z,α17)",...
818,"(z,α18)",...
819,"(z,α19)",...
820,"(z,α20)",...
821,"(z,α21)",...
822,"(z,α22)",...
823,"(z,α23)",...
824,"(z,α24)",...
825,"(z,α25)",...
826,"(z,α26)",...
827,"(z,α27)",...
828,"(z,α28)",...
829,"(z,α29)",...
830,"(z,α30)",...
831,"(z,α31)",...
832,"(z,α32)",...
833,"(z,α33)",...
834,"(z,α34)",...
835,"(z,α35)",...
836,"(z,α36)",...
837,"(z,α37)",...
838,"(z,α38)",...
839,"(z,α39)",...
840,"(z,α40)",...
841,"(z,α41)",...
842,"(z,α42)",...
843,"(z,α43)",...
844,"(z,α44)",...
845,"(z,α45)",...
846,"(z,α46)",...
847,"(z,α47)",...
848,"(z,α48)",...
849,"(z,αc) ",Production of an alpha particle in the continuum not included in the above discrete representation.
875,"(z,2n0)",Production of 2 neutrons with residual in the ground state.
876,"(z,2n1)",Production of 2 neutrons with residual in the 1st excited state.
877,"(z,2n2)",Production of 2 neutrons with residual in the 2nd excited state.
878,"(z,2n3)",...
879,"(z,2n4)",...
880,"(z,2n5)",...
881,"(z,2n6)",...
882,"(z,2n7)",...
883,"(z,2n8)",...
884,"(z,2n9)",...
885,"(z,2n10)",...
886,"(z,2n11)",...
887,"(z,2n12)",...
888,"(z,2n13)",...
889,"(z,2n14)",...
890,"(z,2n15)",...
891,"(z,2nc)",Production of 2 neutrons in the continuum not included in the above discrete representation.